0	0	0	32.8682	24.1479
0	1	0	30.4512	32.1289
0	2	0	28.428	29.7219
0	3	0	41.501	22.8047
0	4	0	25.3389	33.7251
0	5	0	41.0435	21.9851
0	6	0	27.5605	29.3638
0	7	0	25.1436	34.8394
0	8	0	40.3926	25.7236
0	9	0	35.1973	30.5566
0	10	0	26.5449	27.7949
0	11	0	23.8594	33.9473
0	12	0	42.2236	22.1177
0	13	0	28.0732	22.3228
0	14	0	25.6904	31.9819
0	15	0	33.5566	34.3848
0	16	0	40.4609	34.3472
0	17	0	39.1719	25.6553
0	18	0	41.2031	23.9326
1	19	0	38.6951	22.439
0	20	0	35.7979	28.4204
2	21	0	31.6711	34.1699
